"filename", "language", "C", "x86 and x86_64 Assembly", "C++", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C++", 0, 0, 16, 0, 1, 17
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 205, 0, 0, 1, 15, 221
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 25, 0, 0, 0, 2, 27
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C++", 0, 0, 4, 0, 3, 7
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 77, 0, 0, 0, 15, 92
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h", "C++", 0, 0, 11, 0, 5, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C++", 0, 0, 2, 0, 1, 3
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C++", 0, 0, 13, 0, 4, 17
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 5, 0, 0, 0, 5, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 9, 0, 0, 2, -1, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 0, 47, 0, 0, 7, 54
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 195, 0, 0, 2, 12, 209
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 32, 0, 0, 1, 12, 45
"Total", "-", 548, 47, 46, 6, 81, 728
