"filename", "language", "x86 and x86_64 Assembly", "C", "CMake", "LinkerScript", "C++", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\boot\CMakeLists.txt", "CMake", 0, 0, 15, 0, 0, 0, 4, 19
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.c", "C", 0, 6, 0, 0, 0, 14, 4, 24
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.h", "C++", 0, 0, 0, 0, 3, 10, 2, 15
"e:\ubuntu\diy-x86os\start\start\source\boot\start.S", "x86 and x86_64 Assembly", 40, 0, 0, 0, 0, 0, 6, 46
"e:\ubuntu\diy-x86os\start\start\source\comm\boot_info.h", "C++", 0, 0, 0, 0, 14, 0, 7, 21
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C++", 0, 0, 0, 0, 71, 0, 8, 79
"e:\ubuntu\diy-x86os\start\start\source\comm\elf.h", "C++", 0, 0, 0, 0, 43, 2, 13, 58
"e:\ubuntu\diy-x86os\start\start\source\comm\types.h", "C++", 0, 0, 0, 0, 7, 0, 2, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt", "CMake", 0, 0, 15, 0, 0, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\cpu.c", "C", 0, 39, 0, 0, 0, 0, 6, 45
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 0, 205, 0, 0, 0, 1, 15, 221
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 0, 25, 0, 0, 0, 0, 2, 27
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C++", 0, 0, 0, 0, 40, 0, 13, 53
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 0, 77, 0, 0, 0, 0, 15, 92
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h", "C++", 0, 0, 0, 0, 11, 0, 5, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C++", 0, 0, 0, 0, 9, 0, 4, 13
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C++", 0, 0, 0, 0, 13, 0, 4, 17
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 0, 5, 0, 0, 0, 0, 5, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 0, 20, 0, 0, 0, 2, 3, 25
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h", "C++", 0, 0, 0, 0, 3, 0, 5, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 71, 0, 0, 0, 0, 0, 15, 86
"e:\ubuntu\diy-x86os\start\start\source\kernel\kernel.lds", "LinkerScript", 0, 0, 0, 16, 0, 0, 3, 19
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 0, 195, 0, 0, 0, 2, 12, 209
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 0, 32, 0, 0, 0, 1, 12, 45
"e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt", "CMake", 0, 0, 15, 0, 0, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\loader\loader.h", "C++", 0, 0, 0, 0, 17, 0, 8, 25
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c", "C", 0, 67, 0, 0, 0, 0, 13, 80
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c", "C", 0, 69, 0, 0, 0, 0, 6, 75
"e:\ubuntu\diy-x86os\start\start\source\loader\start.S", "x86 and x86_64 Assembly", 29, 0, 0, 0, 0, 0, 6, 35
"Total", "-", 140, 740, 45, 16, 231, 32, 204, 1408
