"filename", "language", "JSON with Comments", "JSON", "Batch", "C++", "C", "x86 and x86_64 Assembly", "Log", "LinkerScript", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\codemodel-v2-2c9d406fb972cfd42c4a.json", "JSON", 0, -159, 0, 0, 0, 0, 0, 0, 0, -1, -160
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\codemodel-v2-a7d5d8113bbfe2d69cf7.json", "JSON", 0, 159, 0, 0, 0, 0, 0, 0, 0, 1, 160
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\index-2025-06-04T05-33-33-0611.json", "JSON", 0, -132, 0, 0, 0, 0, 0, 0, 0, -1, -133
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\index-2025-06-07T09-46-38-0786.json", "JSON", 0, 132, 0, 0, 0, 0, 0, 0, 0, 1, 133
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\target-kernel-Debug-18e219b871d623542197.json", "JSON", 0, -336, 0, 0, 0, 0, 0, 0, 0, -1, -337
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\target-kernel-Debug-372bf7b21cebcca3add4.json", "JSON", 0, 352, 0, 0, 0, 0, 0, 0, 0, 1, 353
"e:\ubuntu\diy-x86os\start\start\build\compile_commands.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\ubuntu\diy-x86os\start\start\qemu-debug.log", "Log", 0, 0, 0, 0, 0, 0, 938, 0, 0, 1, 939
"e:\ubuntu\diy-x86os\start\start\script\qemu-debug-win.bat", "Batch", 0, 0, 10, 0, 0, 0, 0, 0, 1, 0, 11
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.h", "C++", 0, 0, 0, 39, 0, 0, 0, 0, 0, 7, 46
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 0, 0, 0, 0, 42, 0, 0, 0, 4, 8, 54
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 0, 0, 0, 0, 85, 0, 0, 0, 6, 14, 105
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\cpu.c", "C", 0, 0, 0, 0, 11, 0, 0, 0, 13, 0, 24
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 0, 0, 0, 0, 62, 0, 0, 0, 0, 3, 65
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\mmu.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 0, 0, 0, 0, 3, 0, 0, 0, 8, 2, 13
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C++", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C++", 0, 0, 0, 4, 0, 0, 0, 0, 8, 1, 13
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 0, 0, 0, 0, 6, 0, 0, 0, 0, 5, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\mmu.h", "C", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C", 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 0, 0, 0, 0, 23, 0, 0, 0, 19, 2, 44
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task_entry.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 0, 0, 0, 0, -35, 0, 0, 0, 38, 0, 3
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 262, 0, 0, 0, 51, 313
"e:\ubuntu\diy-x86os\start\start\source\kernel\kernel.lds", "LinkerScript", 0, 0, 0, 0, 0, 0, 0, -22, 0, -7, -29
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 0, 0, 0, 0, 13, 0, 0, 0, 1, 1, 15
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"e:\ubuntu\diy-x86os\start\start\start.code-workspace", "JSON with Comments", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 2, 26, 10, 82, 231, 272, 938, -22, 116, 103, 1758
