"filename", "language", "JSON with Comments", "JSON", "C", "Log", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\cache-v2-a9e181b4e40f6141d882.json", "JSON", 0, 1267, 0, 0, 0, 1, 1268
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\cache-v2-ef6ce2b1ce7dad5c05f7.json", "JSON", 0, -1251, 0, 0, 0, -1, -1252
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\cmakeFiles-v1-221b669f9abf26b1a3c6.json", "JSON", 0, 469, 0, 0, 0, 1, 470
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\cmakeFiles-v1-a7ee43f762ef1ad0c62d.json", "JSON", 0, -115, 0, 0, 0, -1, -116
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\codemodel-v2-a7d5d8113bbfe2d69cf7.json", "JSON", 0, -159, 0, 0, 0, -1, -160
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\codemodel-v2-fb12f78ae4328fd9a472.json", "JSON", 0, 159, 0, 0, 0, 1, 160
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\index-2025-06-07T09-46-38-0786.json", "JSON", 0, -132, 0, 0, 0, -1, -133
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\index-2025-06-08T08-52-45-0354.json", "JSON", 0, 132, 0, 0, 0, 1, 133
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\target-kernel-Debug-372bf7b21cebcca3add4.json", "JSON", 0, -352, 0, 0, 0, -1, -353
"e:\ubuntu\diy-x86os\start\start\build\.cmake\api\v1\reply\target-kernel-Debug-bb541995888b119b1eb7.json", "JSON", 0, 366, 0, 0, 0, 1, 367
"e:\ubuntu\diy-x86os\start\start\build\compile_commands.json", "JSON", 0, 5, 0, 0, 0, 0, 5
"e:\ubuntu\diy-x86os\start\start\qemu-debug.log", "Log", 0, 0, 0, 69197, 0, 0, 69197
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.h", "C", 0, 0, 22, 0, 8, 0, 30
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 0, 0, 49, 0, 9, 14, 72
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 0, 0, 20, 0, 0, 1, 21
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 0, 0, 86, 0, 1, 9, 96
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 0, 0, 2, 0, 0, -1, 1
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C", 0, 0, 5, 0, 0, -2, 3
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 0, 0, 4, 0, 0, 1, 5
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\mmu.h", "C", 0, 0, 5, 0, 0, 0, 5
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C", 0, 0, 1, 0, 0, 2, 3
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 0, 0, 16, 0, 3, 1, 20
"e:\ubuntu\diy-x86os\start\start\start.code-workspace", "JSON with Comments", 2, 0, 0, 0, 0, 0, 2
"Total", "-", 2, 389, 210, 69197, 21, 25, 69844
