"filename", "language", "C++", "C", "x86 and x86_64 Assembly", "CMake", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.h", "C", 0, 61, 0, 0, 8, 7, 76
"e:\ubuntu\diy-x86os\start\start\source\boot\CMakeLists.txt", "CMake", 0, 0, 0, 15, 0, 4, 19
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.c", "C", 0, 6, 0, 0, 14, 4, 24
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.h", "C++", 3, 0, 0, 0, 10, 2, 15
"e:\ubuntu\diy-x86os\start\start\source\boot\start.S", "x86 and x86_64 Assembly", 0, 0, 40, 0, 0, 6, 46
"e:\ubuntu\diy-x86os\start\start\source\comm\boot_info.h", "C++", 14, 0, 0, 0, 0, 7, 21
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C++", 115, 0, 0, 0, 0, 15, 130
"e:\ubuntu\diy-x86os\start\start\source\comm\elf.h", "C++", 43, 0, 0, 0, 2, 13, 58
"e:\ubuntu\diy-x86os\start\start\source\comm\types.h", "C++", 7, 0, 0, 0, 0, 2, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt", "CMake", 0, 0, 0, 15, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 0, 236, 0, 0, 25, 39, 300
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 0, 30, 0, 0, 0, 2, 32
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 0, 411, 0, 0, 11, 45, 467
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\cpu.c", "C", 0, 78, 0, 0, 13, 9, 100
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 0, 289, 0, 0, 1, 20, 310
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\mmu.c", "C", 0, 0, 0, 0, 8, 1, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 0, 26, 0, 0, 8, 4, 38
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 0, 34, 0, 0, 8, 7, 49
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C", 0, 34, 0, 0, 0, 1, 35
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 0, 75, 0, 0, 8, 25, 108
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C++", 60, 0, 0, 0, 8, 15, 83
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 0, 87, 0, 0, 0, 22, 109
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\mmu.h", "C", 0, 71, 0, 0, 0, 8, 79
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h", "C++", 11, 0, 0, 0, 0, 5, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\mutex.h", "C", 0, 14, 0, 0, 0, 9, 23
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\sem.h", "C", 0, 13, 0, 0, 0, 3, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C", 0, 13, 0, 0, 8, 8, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\bitmap.h", "C", 0, 15, 0, 0, 8, 6, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C", 0, 29, 0, 0, 0, 8, 37
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\list.h", "C++", 54, 0, 0, 0, 0, 12, 66
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 0, 5, 0, 0, 0, 5, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 0, 46, 0, 0, 23, 5, 74
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task_entry.S", "x86 and x86_64 Assembly", 0, 0, 10, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 0, 46, 0, 0, 52, 9, 107
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h", "C++", 3, 0, 0, 0, 0, 5, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 0, 0, 394, 0, 0, 88, 482
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\mutex.c", "C", 0, 49, 0, 0, 8, 6, 63
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\sem.c", "C", 0, 47, 0, 0, 0, 4, 51
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\bitmap.c", "C", 0, 65, 0, 0, 0, 2, 67
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 0, 219, 0, 0, 3, 12, 234
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\list.c", "C", 0, 78, 0, 0, 0, 6, 84
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 0, 38, 0, 0, 11, 10, 59
"e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt", "CMake", 0, 0, 0, 15, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\loader\loader.h", "C++", 17, 0, 0, 0, 0, 8, 25
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c", "C", 0, 67, 0, 0, 0, 13, 80
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c", "C", 0, 91, 0, 0, 0, 6, 97
"e:\ubuntu\diy-x86os\start\start\source\loader\start.S", "x86 and x86_64 Assembly", 0, 0, 29, 0, 0, 6, 35
"Total", "-", 327, 2273, 473, 45, 237, 501, 3856
