"filename", "language", "C", "CMake", "C++", "x86 and x86_64 Assembly", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\applib\CMakeLists.txt", "CMake", 0, 9, 0, 0, 0, 3, 12
"e:\ubuntu\diy-x86os\start\start\source\applib\crt0.S", "x86 and x86_64 Assembly", 0, 0, 0, 10, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\applib\cstart.c", "C", 16, 0, 0, 0, 8, 2, 26
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.c", "C", 208, 0, 0, 0, 0, 17, 225
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.h", "C", 49, 0, 0, 0, 8, 16, 73
"e:\ubuntu\diy-x86os\start\start\source\boot\CMakeLists.txt", "CMake", 0, 15, 0, 0, 0, 4, 19
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.c", "C", 6, 0, 0, 0, 14, 4, 24
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.h", "C++", 0, 0, 3, 0, 10, 2, 15
"e:\ubuntu\diy-x86os\start\start\source\boot\start.S", "x86 and x86_64 Assembly", 0, 0, 0, 40, 0, 6, 46
"e:\ubuntu\diy-x86os\start\start\source\comm\boot_info.h", "C", 14, 0, 0, 0, 0, 7, 21
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C", 119, 0, 0, 0, 0, 18, 137
"e:\ubuntu\diy-x86os\start\start\source\comm\elf.h", "C++", 0, 0, 43, 0, 2, 13, 58
"e:\ubuntu\diy-x86os\start\start\source\comm\types.h", "C", 7, 0, 0, 0, 0, 2, 9
"e:\ubuntu\diy-x86os\start\start\source\init\CMakeLists.txt", "CMake", 0, 20, 0, 0, 0, 5, 25
"e:\ubuntu\diy-x86os\start\start\source\init\main.c", "C", 15, 0, 0, 0, 8, 4, 27
"e:\ubuntu\diy-x86os\start\start\source\init\main.h", "C", 23, 0, 0, 0, 8, 12, 43
"e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt", "CMake", 0, 16, 0, 0, 0, 3, 19
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 315, 0, 0, 0, 39, 56, 410
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 54, 0, 0, 0, 0, 11, 65
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 740, 0, 0, 0, 44, 75, 859
